Repository,Description
itewqq/MathpixCsharp,MathpixCsharp: C#实现的Mathpix Windows开源客户端
dje-dev/Ceres,Ceres - an MCTS chess engine for research and recreation
zcgonvh/CVE-2020-17144,weaponized tool for CVE-2020-17144
WolvenKit/CyberCAT,CyberPunk 2077 Customization Assistant Tool. Work in progress Savegame editor.
ruccho/WaterRW,WaterRW is 2D interactive water system for Unity.
minism/fps-netcode,Quake-style multiplayer FPS demo that integrates a number of modern netcode techniques for quality of gameplay.
sekkit/Verse.NET,A Single Process Online Game Server with Minimum Design
oncemi/OnceMi.AspNetCore.OSS,ASP.NET Core对象储存扩展包，支持Minio自建对象储存、阿里云OSS、腾讯云COS、七牛云Kodo、华为云OBS、百度云BOS、天翼云OOS经典版。
zachbarth/minimalist-game-framework,"A minimalist game framework in the style of the ""game engine"" we use at Zachtronics."
Aeroluna/NoodleExtensions,This mod lets you see cool things that mappers have put in their maps. Report all issues to Reaxt.
passthehashbrowns/SharpRDPThief,A C# implementation of RDPThief to steal credentials from RDP.
authindicators/svg-ps-converters,Tools for Exporting into SVG Tiny Portable/Secure Format
keijiro/DofVfxSamples,DoF particle sample for Unity VFX Graph
TheWover/GhostLoader,GhostLoader - AppDomainManager - Injection - 攻壳机动队
pluveto/Caplos,A tool to squeeze the power of your CapsLock key 一个充分利用你的大小写键的工具
Airboi/CVE-2020-17144-EXP,Exchange2010 authorized RCE
rvrsh3ll/MSBuildAPICaller,MSBuild Without MSBuild.exe
StoreDev/StoreLib,Storelib is a DotNet library that provides APIs to interact with the various Microsoft Store endpoints. 
Yaxser/SharpPhish,Using outlook COM objects to create convincing phishing emails without the user noticing. This project is meant for internal phishing.
geekoutnet/CollectiveOAuth,.Net平台(C#) 史上最全的整合第三方登录的开源库 => 环境支持 .NET Framework 4.5 ~ 4.6.2 和 .NetCore 3.1。目前已包含Github、Gitee、钉钉、百度、支付宝、微信、企业微信、腾讯云开发者平台(Coding)、OSChina、微博、QQ、Google、Facebook、抖音、领英、小米、微软、今日头条、Teambition、StackOverflow、Pinterest、人人、华为、酷家乐、Gitlab、美团、饿了么、等第三方平台的授权登录。以下平台正在接入中: 推特、淘宝
mixandjam/FFVII-TacticalMode,Recreating the Tactical Mode mechanic from Final Fantasy VII Remake
jhalon/SharpCall,Simple PoC demonstrating syscall execution in C#
mettoc/Abp.WorkflowCore,ABP+WorkflowCore+jsplumb实现的工作流模块
yaakov-h/Notepad.Extensions.Logging,.NET logging to Notepad
SteveDunn/PacManBlazor,PACMAN in Blazor WebAssembly
joaen/EasyIK,Simple and fast IK solver for Unity
Ingan121/BasicThemer2,"Apply the basic theme of Windows Vista-7 to Windows Vista-10, without disabling the DWM composition"
jiangjinnan/InsideAspNetCore3,ASP.NET Core 3框架揭秘实例
srini0x00/dvta,Damn Vulnerable Thick Client App developed in C# .NET
perholmes/UnityAutoBundles,Extension to Unity's Addressables for making it easier to distribute large projects and keep mobile download size small.
DSprtn/GTFO_VR_Plugin,A plugin to add full roomscale Virtual Reality support to your favorite game!
gmenounos/kw1281test,VW KW1281 Protocol Test Tool
TextusGames/UnitySerializedReferenceUI,The UI for Unity's SerealizedReference attribute. It allows to change the instance type of field right in editor.
robinvanderknaap/authorization-server-openiddict,Authorization Server implemented with OpenIddict.
zwl568633995/AspNetCoreScaffolding,.NetCore基础框架，集成分布式中间件
jfmaes/GG-AESY,Hide cool stuff in images :) 
Razchek/Unispect,A mono type definition and field inspector for Unity games compiled with mono.
vesoapp/veso,Open source media server.
RedSiege/hot-manchego,Macro-Enabled Excel File Generator (.xlsm) using the EPPlus Library.
piratesephiroth/TeconmoonWiiVCInjector,Fork of the popular Wii Virtual Console Injector for Wii U by Teconmoon
nccgroup/Carnivore,"Tool for assessing on-premises Microsoft servers authentication such as ADFS, Skype, Exchange, and RDWeb"
EntroPi-Games/GPU-Line-of-Sight,GPU Line of Sight / Field of View visualization for Unity
cdians/youyiPUBG,【pubg】绝地求生芯片压枪源码
FuzzySecurity/BlueHatIL-2020,BlueHatIL 2020 - Staying # and Bringing Covert Injection Tradecraft to .NET
checkymander/Carbuncle,Tool for interacting with outlook interop during red team engagements
BattleDawnNZ/ProceduralAnimation,Procedural Animation Scripts For Unity
JonPSmith/EfCore.SchemaCompare,Library to compare EF Core's Model of the database against a database's schema. 
pshtif/RuntimeTransformHandle,Runtime transform handle for Unity.
CodeMazeBlog/identity-aspnetcore,"This repo contains the source code for ""Identity in ASP.NET Core series"" on Code Maze"
admin-shell-io/aasx-package-explorer,C# based viewer / editor for the Asset Administration Shell
JamesMcMahon/monocle-engine,"Mirror of Maddy Thorson's C# Game Engine. ""A MonoGame C# game engine! Based on the TowerFall Ascension core engine code."""
SardineFish/SRP-Demos,Demos for custom Unity Scriptable Render Pipeline.
Wyamio/Wyam,A modular static content and static site generator.
jfmaes/TrustJack,Yet another PoC for https://www.wietzebeukema.nl/blog/hijacking-dlls-in-windows
mbaske/grid-sensor,Grid Sensor Components for Unity ML-Agents
oakwarrior/DeathAndTaxes,"The source code for Placeholder Gameworks' debut title ""Death and Taxes"", of which I did the coding."
dynamiquel/NVIDIA-Ansel-AI-Enhancer,NVIDIA Ansel AI Enhancer is an app I quickly made that takes advantage of NVIDIA’s Ansel RTX AI Up-Res to allow users to upscale any image to 8K whiles adding further quality.
louislam/lazy-compress-h265,"Compress or convert your video files to h.265 (hevc) format with one-click, make its size much smaller!"
OfficeDev/microsoft-teams-apps-faqplus,FAQ Plus is a friendly Q&A bot that brings a human in the loop when it is unable to help with an answer from the knowledge base.
microsoft/Armada,"Armada is a tool for writing, and proving correct, high-performance concurrent programs."
haolange/InfinityTexture,Runtime Virtual Texture for Unity URP.
TheAllenChou/unity-physics-constraints,Minimalistic educational constraint-based physics framework
3dudu/agv-wcs,仓库控制系统，agv调度
pardeike/HarmonyRimWorld,A RimWorld mod that installs Harmony for all other mods
Azure-Samples/Serverless-APIs,Guidance for building serverless APIs with Azure Functions and API Management.
StefanJo3107/ASCII-Rendering-Shader-in-Unity,Unity Image Effect that replicates retro ASCII rendering seen in games such as Rogue and Dwarf Fortress
teduinternational/eShopSolution,eShopSolution is a tutorial solution for everyone using .NET Core 3.1
laicasaane/unity-addressables-manager,Unity Addressables Manager
aws/aws-dotnet-deploy,Opinionated tooling that simplifies deployment of .NET applications to AWS.
ivaylokenov/Domain-Driven-Design-with-ASP.NET-Core-Microservices,Domain-Driven Design with ASP.NET Core Microservices
xujiangjiang/Easy-Bug-Manager,Easy Bug Manager is a tool for bug management. Made using WPF.（这是一个用于管理Bug的工具，使用WPF制作）
davidfowl/IISCrossover,A prototype running ASP.NET and ASP.NET Core in the same IIS pipeline
PacktPublishing/-Learn-WinUI-3.0," Learn WinUI 3.0, published by Packt"
ShrineGames/UnityMirrorTutorials,Code for the Unity + Mirror networking tutorial series
aboudoux/BlazorAnimation,a Blazor component based on animate.css to easly animate your content
drakewill-CRL/ROMSorter,Detect and rename ROMs and other games
756915370/LuaRuntimeHotfix,Lua runtime update module in unity
vavilichev/Lukomor,Lukomor is an architectural framework for Unity that includes MVVM implementation and DI
jamesmontemagno/app-ac-islandtracker,Animal Crossing Island Tracking Mobile App
vrchat-community/EasyQuestSwitch,"EasyQuestSwitch is a Unity editor tool developed for VRChat world creators, it can automate changes to components within a scene as soon as the build platform is changed from PC to Android (for Oculus Quest) or vice versa."
jglim/CaesarSuite,Library and applications to work with Dаіmlеr diagnostics CBF files.
Nrjwolf/unity-auto-attach-component-attributes,Auto attach components in inspector
hexfati/SharpDllLoader,A simple C# executable that invokes an arbitrary method of an arbitrary C# DLL
jspuij/TwokaB,"Blazor WebView control for WPF, Android, macOS, iOS. Run Blazor on .NET Core and Mono natively inside a Webview."
mixandjam/Pikmin-Gameplay,Recreating the basic gameplay from Pikmin
ZhengDaoWang/PrismMetroSample,"This solution demonstrates how WPF implements the MVVM pattern using Prism8.0 in a.NET 5 environment, where the UI control references the MahApps control library"
Myster-Tee/TinfoilWebServer,Install your packages from your own server
ImpromptuNinjas/UltralightSharp,Multi-platform .NET bindings to the Ultralight project.
EasyAbp/WeChatManagement,基于EasyAbp.Abp.WeChat模块实现微信登录、微信用户信息存储、微信服务器管理、微信第三方平台等高级功能的Abp应用模块组
JeremieCHN/MetaDataStringEditor,Modify string in file global-metadata.dat
Azure/template-analyzer,Template scanner for security misconfiguration and best practices
stijnvdb88/Snap.Net,A cross-platform control client and player for https://github.com/badaix/snapcast
rvrsh3ll/NoMSBuild,MSBuild without MSbuild.exe
clairernovotny/DeterministicBuilds,Shows how to do deterministic builds with .NET
alonsoalon/TenantSite.Server,后台服务项目
serilog-contrib/Serilog.Enrichers.Sensitive,A Serilog LogEvent enricher that masks sensitive data
Jim202020/BuglyEasyToUnity,基于腾讯Bugly Unity Plugin基础上进行了更新优化，方便Unity开发者快速接入更新更稳定的Bugly版本。
nukadelic/Unity-Lightmap-Prefab-Baker,Unity Light Map Prefab Baker
MarcusXie3D/MobileWeatherSystem,"High performance weather system for mobile platforms, containing fog / rain / snow / thunder & lightning / time of the day."
scelts/gees,Landing rate calculation for the Microsoft Flight Simulator 2020
jdscodelab/File-Manager-UI-Wpf,https://www.youtube.com/playlist?list=PLe_Naf3_gfQmP-OL4gzDREMSCPjLIoEgd
micahvandeusen/GenericPotato,Impersonating authentication over HTTP and/or named pipes.
Macross-Software/core,Core repository contains the primary open source libraries released by Macross Software for .NET Core.
goatcorp/SamplePlugin,Simple example plugin for XIVLauncher/Dalamud
BarsikV/CommunicationDeviceSwitcherService,"A windows service for switching the default communication device automatically, when the playback device is changed"
cabbibo/IMMATERIA,A library for unity and compute shaders
KevinDockx/SecuringAspNetCore3WithOAuth2AndOIDC,Fully functioning finished sample code for my Securing ASP.NET Core 3 with OAuth2 and OpenID Connect course
kemo14331/Particle-Converter,画像ファイルをmcfunctionに変換するツール
clamchowder/PmcReader,Performance Counter Reader
Splitwirez/Mechanism-for-Avalonia,"A collection of Controls, Themes, and other tools, to help Avalonia apps specialize for each platform they support with minimal work."
roubachof/Xamarin.Forms.Nuke,The famous iOS Nuke native image caching library for Xamarin.Forms
nicolasdeory/firelight,"A modular game integration for Razer Chroma and other RGB LED devices for League of Legends, Rocket League, Fortnite and many more."
Append-IT/Blazor.Notifications,HTML5 Notifications API implementation for Microsoft Blazor
Natsukage/Fishers-Intuition,渔人的直感，最终幻想14钓鱼计时器
PacktPublishing/ASP.NET-Core-5-and-React-Second-Edition,"ASP.NET Core 5 and React - Second Edition, published by Packt"
woxieao/-1s,keeps your loudspeaker box always power on
moaistory/WinSearchDBAnalyzer,http://moaistory.blogspot.com/2018/10/winsearchdbanalyzer.html
dreamfairy/Unity_ECS_GPUSkinning,ECS boost GpuSkinning
matterpreter/SHAPESHIFTER,"Companion PoC for the ""Adventures in Dynamic Evasion"" blog post"
py7hagoras/CovenantTasks,Source for tasks I have used with Covenant
stefffdev/NubeSync,Build fast and robust offline data sync for your app.
t4guw/100-Unity-Mechanics-for-Programmers,Building Unity mechanics structured as a set of challenges. 100 sample programs where each program demonstrates a different mechanic.
pauldotknopf/twitter-dump,Dump data from Twitter's public API.
KnightYyj/QuartzCore.Blazor,QuartzCore.Blazor作业管理平台，实践ant-design-blazor和FreeSql
