Repository,Description
clairernovotny/DeterministicBuilds,shows deterministic builds net
alonsoalon/TenantSite.Server,
serilog-contrib/Serilog.Enrichers.Sensitive,serilog logevent enricher masks sensitive data
Jim202020/BuglyEasyToUnity,bugly unity pluginunitybugly
nukadelic/Unity-Lightmap-Prefab-Baker,unity light map prefab baker
MarcusXie3D/MobileWeatherSystem,high performance weather system mobile platforms containing fog rain snow thunder lightning time day
scelts/gees,landing rate calculation microsoft flight simulator two thousand twenty
jdscodelab/File-Manager-UI-Wpf,
micahvandeusen/GenericPotato,impersonating authentication http andor named pipes
Macross-Software/core,core repository contains primary open source libraries released macross software net core
goatcorp/SamplePlugin,simple example plugin xivlauncherdalamud
BarsikV/CommunicationDeviceSwitcherService,windows service switching default communication device automatically playback device changed
cabbibo/IMMATERIA,library unity compute shaders
KevinDockx/SecuringAspNetCore3WithOAuth2AndOIDC,fully functioning finished sample code securing aspnet core three oauth2 openid connect course
kemo14331/Particle-Converter,mcfunction
clamchowder/PmcReader,performance counter reader
Splitwirez/Mechanism-for-Avalonia,collection controls themes tools help avalonia apps specialize platform support minimal work
roubachof/Xamarin.Forms.Nuke,famous ios nuke native image caching library xamarinforms
nicolasdeory/firelight,modular game integration razer chroma rgb led devices league legends rocket league fortnite many
Append-IT/Blazor.Notifications,html5 notifications api implementation microsoft blazor
Natsukage/Fishers-Intuition,fourteen
PacktPublishing/ASP.NET-Core-5-and-React-Second-Edition,aspnet core five react second edition published packt
woxieao/-1s,keeps loudspeaker box always power
moaistory/WinSearchDBAnalyzer,
dreamfairy/Unity_ECS_GPUSkinning,ecs boost gpuskinning
matterpreter/SHAPESHIFTER,companion poc adventures dynamic evasion blog post
py7hagoras/CovenantTasks,source tasks used covenant
stefffdev/NubeSync,build fast robust offline data sync app
t4guw/100-Unity-Mechanics-for-Programmers,building unity mechanics structured set challenges one hundred sample programs program demonstrates different mechanic
pauldotknopf/twitter-dump,dump data twitters public api
KnightYyj/QuartzCore.Blazor,quartzcoreblazorantdesignblazorfreesql
Deblokt/IdentityServer4Demos.NETCore31,repository contains demo projects identityserver4 learn create projects use zero productionready stepbystep tutorials client app examples
jbaarssen/PdfLibCore,pdflib core fast pdf editing reading library modern net core applications
yasirkula/UnityTextToTextMeshProUpgradeTool,upgrade text inputfield dropdown textmesh objects textmesh pro variants unity
FrankenApps/Avalonia-CustomTitleBarTemplate,shows create custom titlebars
Barbelot/Chimera,2d fluid simulation unity
Uahh/ToastFish,
bflattened/bflat,csharp know goinspired tooling small selfcontained native executables
fullstackhero/blazor-starter-kit,clean architecture template blazor webassembly built mudblazor components
RoundedTB/RoundedTB,add margins rounded corners segments taskbars
34736384/genshin-fps-unlock,unlocks sixty fps cap
cube0x0/CVE-2021-1675,csharp impacket implementation printnightmare cve20211675cve202134527
91270/MeiamSubtitles,emby server jellyfin server
XINCGer/UnityToolchainsTrick,unityeditorprovides common tips examples developing unityeditor toolchain
GhostPack/Certify,active directory certificate abuse
coofcookie/Windows11Upgrade,windows eleven upgrade tool bypasses microsoft requirements
Cysharp/MessagePipe,high performance inmemorydistributed messaging pipeline net unity
SebLague/Chess-Coding-Adventure,workinprogress chess bot written csharp
ErsatzTV/ErsatzTV,stream custom live channels using media
FirstGearGames/FishNet,fishnet unity networking evolved
cube0x0/noPac,cve202142287cve202142278 scanner exploiter
wangfreexx/wangfreexx-tianruoocr-cl-paddle,ocrchineselitepaddleocr
nesrak1/UABEA,csharp uabe newer versions unity
BnuuySolutions/OculusKiller,completely kill oculus dash autolaunch steamvr
recyclarr/recyclarr,automatically sync trash guides sonarr radarr instances
Valkirie/HandheldCompanion,controllerservice
chvancooten/OSEP-Code-Snippets,repository notable code snippets offensive securitys pen300 osep course
he55/DreamScene2,windows
med0x2e/SigFlip,sigflip tool patching authenticode signed pe files exe dll sys etc without invalidating breaking existing signature
sdcb/PaddleSharp,netcsharp binding baidu paddle inference library paddleocr
libxzr/FastbootEnhance,userfriendly fastboot toolbox payload dumper windows
HyPlayer/HyPlayer,netease cloud music player
brunomikoski/Animation-Sequencer,visual tool allows create animated sequences tweens tweak editor time
cuiliang/ClickShow,
andrewlock/NetEscapades.EnumGenerators,source generator generating fast reflection methods enums
tom-englert/RegionToShare,helper app share part screen via video conference apps
dgreenheck/OpenFracture,open source mesh slicingfracturing utility unity
CodeMazeBlog/CodeMazeGuides,main repository code maze guides
CCob/BeaconEye,hunts cobaltstrike beacons logs operator command output
markjprice/cs10dotnet6,repository packt publishing book titled csharp ten net six modern crossplatform development mark j price
NebulaModTeam/nebula,multiplayer mod game dyson sphere program
eladshamir/Whisker,whisker csharp tool taking active directory user computer accounts manipulating msdskeycredentiallink attribute effectively adding shadow credentials target account
slushiegoose/Town-Of-Us,among us mod containing bunch roles
bats3c/ADCSPwn,tool escalate privileges active directory network coercing authenticate machine accounts relaying certificate service
SpecterOps/SharpHound,csharp data collector bloodhound
HaveIBeenPwned/PwnedPasswordsAzureFunction,apis kanonymity pwned passwords implementation
dcsoft-yyf/JIEJIE.NET,open source tool obfuscation net assembly file help protect copyright smallfast powerfu
patriksvensson/cupboard,framework provisioning local environments desired state using net sdk
engindemirog/KampFinalProject,yazlm gelistirici yetistirme kamp buyuk proje
zcgonvh/EfsPotato,exploit efspotatomsefsr efsrpcopenfileraw seimpersonateprivilege local privalege escalation vulnerability
Group3r/Group3r,find vulnerabilities ad group policy better grouper2
punk-security/smbeagle,smbeagle fileshare auditing tool
mai1zhi2/SharpBeacon,cobaltstrike beacon written net four netstagerbeaconsyscalletw
skahwah/SQLRecon,csharp ms sql toolkit designed offensive reconnaissance postexploitation
revenz/FileFlows,fileflows file processing application execute actions file tree flow structure
DamianEdwards/MinimalApiPlayground,place trying new aspnet core minimal apis features
raoyutian/PaddleOCRSharp,paddleocrsharppaddleocrcppnetocr 86mocr
dotnet/dotnet-monitor,repository contains source code net monitor tool allows gather diagnostic data running applications using http endpoints
GhostPack/ForgeCert,golden certificates
RCStep/CSSG,cobalt strike shellcode generator
darktohka/FlashPatch,flashpatch play adobe flash player games browser january 12th two thousand twentyone
wixtoolset/wix,wix toolset code
reaqtive/reaqtor,reaqtor framework reliable stateful distributed scalable event processing based rx
Cysharp/ObservableCollections,high performance observable collections synchronized views wpf blazor unity
K8sAcademy/Fundamentals-HandsOn,files docker kubernetes fundamentals handson labs
juliourena/SharpNoPSExec,get file less command execution lateral movement
binarythistle/S04E03---.NET-Microservices-Course-,code introduction net microservices
keijiro/MetavidoVFX,ar vfx samples bibcam burntin barcode metadata camera
Mayyhem/SharpSCCM,csharp utility interacting sccm
JamesCooteUK/SharpSphere,net project attacking vcenter
fullstackhero/blazor-wasm-boilerplate,clean architecture boilerplate template net sixty blazor webassembly built fsh webapi goodness mudblazor components
soulsmods/DSMapStudio,standalone maplevel editor demons souls dark souls one hundred twentythree bloodborne sekiro elden ring
0x727/SchTask_0x727,bypass av
keijiro/KinoAqua,watercolor effect unity urphdrp
SteveSandersonMS/BlazeOrbital,sample application blazor webassembly net six
keijiro/HandPoseBarracuda,hand finger tracking solution mediapipe hands unity barracuda
engindemirog/KampIntro,yazlm gelistirici yetistirme kamp kodlar
AlifeLine/Emby.Plugins.Douban,emby
aarthificial/reanimation,alternative animator unity tailored traditional animation
Gonkee/Gepe3D,gonkees epic physics engine 3d gepe3d
keijiro/Metavido,metadata embedding video subformat
HenJigg/my-todoapp,2022wpf
mixandjam/Splatoon-Ink,recreating ink system splatoon
Redth/ZXing.Net.Maui,barcode scanning maui
keijiro/FaceMeshBarracuda,lightweight facial capture package unity
3lp4tr0n/BeaconHunter,detect respond cobalt strike beacons using etw
AudioBand/AudioBand,display control songs windows taskbar
TheWover/CertStealer,net tool exporting importing certificates without touching disk
Ormicron/Sharp-dumpkey,csharp
snltty/p2p-tunnel,net7 socket nat transferudptcp punch holetcp forwardudp forward proxysocks5 proxynetworking
Fewes/MinimalAtmosphere,minimal atmospheric scattering implementation unity
LogicReinc/LogicReinc.BlendFarm,standalone blender network renderer
Unity-Technologies/com.unity.services.samples.use-cases,collection samples repo use unity gaming services unity project demonstrate live gaming operations
b2developer/MonopolyNEAT,neat implemented monopoly knockout tournament scheme
Alex4SSB/ADB-Explorer,fluent ui adb windows
plackyhacker/Shellcode-Injection-Techniques,collection csharp shellcode injection techniques techniques use aes encrypted meterpreter payload building project learn discover develop techniques techniques better others bypassing av
ForzaMods/Forza-Mods-AIO,free opensource fh4 fh5 mod tool
Layui-WPF-Team/Layui-WPF,wpflayuiui
NightfallGT/Mercurial-Grabber,grab discord tokens chrome passwords cookies
nettitude/RunPE,csharp reflective loader unmanaged binaries
xiaoyaocz/AllLive,
S3cur3Th1sSh1t/SharpImpersonation,user impersonation tool via token shellcode injection
keijiro/ComputeMarchingCubes,unity gpuoptimized marching cubes isosurface reconstruction
ThePornDatabase/Jellyfin.Plugin.ThePornDB,jellyfinemby metadata provider
0auBSQ/OpenTaiko,improved personalized version tjaplayer3developrewrite tja chart player axed entertainment creativity
AvaloniaUI/Avalonia.Markup.Declarative,provides helpers declarative ui csharp
DapperLib/DapperAOT,build time tools flavor dapper
microsoft/VSExtensibility,repo upcoming changes extensibility visual studio new extensibility model language server protocol
